id,user_id,slug,category_ids,store_name,business
396,3671,karchobi-1,Women,Karchobi,
397,3672,house-of-zulu-1,"Men, Women, Kids",House Of Zulu,
398,3673,rreflection,Women,Rreflection,Fashion
399,3821,via-loom,Women,Via Loom,
400,3862,hrimaan,"Men, Women",Hrimaan,
401,3972,sassafras-1,"Men, Women",Sassafras,
402,4810,bring-my-flowers,Home,Bring My Flowers,Home
403,4811,lapntops-d,Discover,Lapntops D,Electronics
405,4832,the-stationers-1,Kids,The Stationers,Kids
406,4834,golden-eye-1,"Men, Women, Kids",Golden Eye,Fashion
407,4949,lues-carlton,Women,Lues Carlton,
408,4950,lapntops-a,Discover,Lapntops A,Electronics
409,4952,laptopbazzar-1,Discover,Laptopbazzar,Electronics
410,4953,gogia-metals,"Men, Women",Gogia Metals,
411,4954,mouei-1,"Men, Women, Topwear, Westernwear, Kids",Mouei,
412,5116,amoli-designer-1,Women,Amoli Designer,Fashion
413,5118,homedecor,Home,Home Decor,Home
414,5119,amourr-jewel,Discover,Amourr Jewel,Fashion
415,5123,kadhaikaari,"Men, Women, Topwear, Westernwear, Kids",Kadhaikaari,
416,5125,exportify-1,Men,Exportify,Fashion
417,5126,balloon-76,"Men, Women, Kids",Balloon 76,Kids
418,5129,wht-a-home,Home,Wht A Home,Home
427,5144,kindlife,Wellness,Kindlife,
428,5145,the-black-coffee-cafe,Discover,The Black Coffee Cafe,Food
429,5146,the-house-of-tara,"Men, Women",The House Of Tara,Fashion
430,5149,little-burgundy,"Men, Women, Topwear, Westernwear, Kids",Little Burgundy,
431,5150,saissa,Women,Saissa,Fashion
432,5151,adayein-by-ruchika,Women,Adayein by Ruchika,Fashion
433,5152,asseto-creations-1,"Men, Women",Asseto Creations,Fashion
434,5168,ashena-1,"Men, Women",Ashena,Fashion
435,5169,kriti-life,Home,Kriti Life,Home
436,5170,radha-rani-couture,Women,Radha Rani Couture,Home
437,5173,roohani,Women,Roohani,Fashion
438,5186,vedic-poojan,Home,Vedic Poojan,Home
439,5198,groom-canine,"Men, Women, Topwear, Westernwear, Kids",Groom Canine,
440,5200,bummer-1,"Men, Women",Bummer,
441,5201,wakatic-1,Men,Wakatic,
442,5203,suta,Women,Suta,
443,5204,house-of-koala,"Men, Women, Topwear, Westernwear, Kids",House of Koala,
444,5205,beeglee,"Men, Women, Topwear, Westernwear, Kids",Beeglee,
445,5206,color-capital,"Men, Women, Topwear, Westernwear, Kids",Color Capital,
446,5207,wellbi,Men,Wellbi,
447,5277,indian-route-1,"Men, Women, Kids",Indian Route,Fashion
448,5281,mili,Women,Mili,Fashion
450,5283,shaewe,"Men, Women, Topwear, Westernwear, Kids",Shaewe,
451,5284,herbs4sure-azad-oil-mill,Wellness,Herbs4sure & Azad Oil Mill,Beauty
452,5285,mother-home-1,"Men, Women",Mother Home,Fashion
453,5286,inloom,Women,Inloom,Fashion
454,5287,amadika-1,"Men, Women",Amadika,Fashion
455,5293,couture-by-reena,Women,Couture By Reena,Fashion
456,5294,tulsee,Women,Tulsee,Fashion
457,5303,expor-vogue,"Men, Women",Expor Vogue,Fashion
459,5314,vaatz-culture,"Men, Women",Vaatz Culture,Fashion
460,5320,1727-pink-jaipur-1,Women,1727 Pink Jaipur,Fashion
461,5321,tanu-furniture,Home,Tanu Furniture,Home
462,`,mamta-furniture,Home,Mamta Furniture,Home
463,5338,,Women,Bhavya kohli xyz,
465,5377,,,Aakarsh Agarwal,
466,5380,aadiyaifine,"1, 87, 02, 136",Aadiya Fine Jewellery,
467,5382,soi-opera,Women,Soi Opera,Fashion
468,5383,tora,Women,Tora,Fashion
469,5399,store-name-6,Women,Kasida,Fashion
470,5400,store-name-7,Women,Reet Couture,Fashion
471,5401,store-name-8,Women,Fabricaa India,Fashion
472,5402,zephora,Women,Zefora,Fashion
473,5403,tini-bib,Kids,Tini Bib,Kids
474,5405,store-name-10,Discover,Electri City,
475,5407,store-name-11,Women,Indigo,
476,5408,store-name-12,Women,Paisley,
477,5409,store-name-13,"Men, Women",Suvidha Opticals,Fashion
478,5410,store-name-14,"Men, Women",Aarambh The Attire Stories,
479,5416,store-name-9,"Men, Women, Topwear, Westernwear, Kids",Suditi,
480,5417,store-name-15,"Men, Women, Topwear, Westernwear, Kids",Griva Fashion,
481,5418,store-name-16,"Men, Women, Topwear, Westernwear, Kids",Jubee,
482,5419,store-name-17,"Men, Women, Topwear, Westernwear, Kids",Merraki,
483,5420,store-name-18,"Men, Women, Topwear, Westernwear, Kids",kleijoux,
484,5421,store-name-19,"Men, Women, Topwear, Westernwear, Kids",Abhinav Singh,
485,5427,store-name-30,"Men, Women",Windsor & Forge,
487,5441,store-name-20,"Men, Women, Kids, Home",Blessed Stems,
488,5442,store-name-21,Kids,Merrigo Kidz,
489,5444,store-name-22,Women,	Insia,
490,5445,store-name-23,"Men, Women",Aavyaa Incense Store,
491,5453,,Men,Dara opticals and Hearing Aids ,Fashion
492,5465,,Women,Pankhuri,
494,5471,houzoftagz,Men,Houz of Tags,Fashion
495,5543,store-name-24,Discover,VS Infotech,
496,5552,store-name-25,"Men, Women, Topwear, Westernwear, Kids",Gifting Best Wishes,
497,5553,alankriti,"Men, Women, Topwear, Westernwear, Kids",Alankriti,
498,5799,cuteentertainment,Kids,Cute Edutainment ,kids
500,5808,store-name-26,"Men, Women, Topwear, Westernwear, Kids",Silk Fab,
